DATE,CLOSE,VOLUME
17-09-14,457.334015,21056800
18-09-14,424.440002,34483200
19-09-14,394.79599,37919700
20-09-14,408.903992,36863600
21-09-14,398.821014,26580100
22-09-14,402.152008,24127600
23-09-14,435.790985,45099500
24-09-14,423.204987,30627700
25-09-14,411.574005,26814400
26-09-14,404.424988,21460800
27-09-14,399.519989,15029300
28-09-14,377.181,23613300
29-09-14,375.46701,32497700
30-09-14,386.944,34707300
01-10-14,383.61499,26229400
02-10-14,375.071991,21777700
03-10-14,359.511993,30901200
04-10-14,328.865997,47236500
05-10-14,320.51001,83308096
06-10-14,330.07901,79011800
07-10-14,336.187012,49199900
08-10-14,352.940002,54736300
09-10-14,365.026001,83641104
10-10-14,361.562012,43665700
11-10-14,362.299011,13345200
12-10-14,378.549011,17552800
13-10-14,390.414001,35221400
14-10-14,400.869995,38491500
15-10-14,394.77301,25267100
16-10-14,382.556,26990000
17-10-14,383.757996,13600700
18-10-14,391.441986,11416800
19-10-14,389.54599,5914570
20-10-14,382.845001,16419000
21-10-14,386.475006,14188900
22-10-14,383.15799,11641300
23-10-14,358.416992,26456900
24-10-14,358.345001,15585700
25-10-14,347.270996,18127500
26-10-14,354.70401,11272500
27-10-14,352.989014,13033000
28-10-14,357.618011,7845880
29-10-14,335.591003,18192700
30-10-14,345.304993,30177900
31-10-14,338.321014,12545400
01-11-14,325.748993,16677200
02-11-14,325.891998,8603620
03-11-14,327.553986,12948500
04-11-14,330.492004,15655500
05-11-14,339.485992,19817200
06-11-14,349.290009,18797000
07-11-14,342.415009,16834200
08-11-14,345.488007,8535470
09-11-14,363.264008,24205600
10-11-14,366.924011,30450100
11-11-14,367.695007,15838900
12-11-14,423.561005,45783200
13-11-14,420.734985,58945000
14-11-14,397.817993,29589200
15-11-14,376.132996,15727500
16-11-14,387.881989,11905600
17-11-14,387.40799,41518800
18-11-14,375.197998,32222500
19-11-14,380.554993,18931800
20-11-14,357.839996,25233200
21-11-14,350.847992,29850100
22-11-14,352.920013,15273000
23-11-14,367.572998,15151600
24-11-14,376.901001,30930100
25-11-14,375.347992,25442200
26-11-14,368.369995,18601700
27-11-14,369.670013,8748030
28-11-14,376.446991,22946500
29-11-14,375.490997,15375600
30-11-14,378.046997,9194440
01-12-14,379.244995,11763000
02-12-14,381.315002,12364100
03-12-14,375.01001,13340100
04-12-14,369.604004,14529600
05-12-14,376.854004,15181800
06-12-14,374.785004,7009320
07-12-14,375.095001,6491650
08-12-14,361.908997,18898700
09-12-14,352.218994,32915500
10-12-14,346.36499,16427700
11-12-14,350.506012,32431300
12-12-14,352.541992,16989800
13-12-14,347.376007,11675900
14-12-14,351.631989,12415200
15-12-14,345.345001,17264200
16-12-14,327.062012,30864900
17-12-14,319.776001,37567900
18-12-14,311.395996,39173000
19-12-14,317.842987,23823100
20-12-14,329.955994,20856700
21-12-14,320.842987,15207600
22-12-14,331.885986,22315100
23-12-14,334.571991,16574200
24-12-14,322.533997,15092300
25-12-14,319.007996,9883640
26-12-14,327.924011,16410500
27-12-14,315.863007,15185200
28-12-14,317.239014,11676600
29-12-14,312.670013,12302500
30-12-14,310.737,12528300
31-12-14,320.192993,13942900
01-01-15,314.248993,8036550
02-01-15,315.032013,7860650
03-01-15,281.082001,33054400
04-01-15,264.195007,55629100
05-01-15,274.473999,43962800
06-01-15,286.188995,23245700
07-01-15,294.337006,24866800
08-01-15,283.348999,19982500
09-01-15,290.40799,18718600
10-01-15,274.79599,15264300
11-01-15,265.660004,18200800
12-01-15,267.79599,18880300
13-01-15,225.860992,72843904
14-01-15,178.102997,97638704
15-01-15,209.843994,81773504
16-01-15,208.097,38421000
17-01-15,199.259995,23469700
18-01-15,210.339005,30085100
19-01-15,214.860992,18658300
20-01-15,211.315002,24051100
21-01-15,226.897003,29924600
22-01-15,233.406006,33544600
23-01-15,232.878998,24621700
24-01-15,247.847,24782500
25-01-15,253.718002,33582700
26-01-15,273.472992,106794000
27-01-15,263.475006,44399000
28-01-15,233.914993,44352200
29-01-15,233.513,32213400
30-01-15,226.425003,26605200
31-01-15,217.464005,23348200
01-02-15,226.972,29128500
02-02-15,238.229004,30612100
03-02-15,227.268005,40783700
04-02-15,226.852997,26594300
05-02-15,217.110992,22516400
06-02-15,222.266006,24435300
07-02-15,227.753998,21604200
08-02-15,223.412003,17145200
09-02-15,220.110001,27791300
10-02-15,219.839005,21115100
11-02-15,219.184998,17201900
12-02-15,221.764008,15206200
13-02-15,235.427002,42744400
14-02-15,257.321014,49732500
15-02-15,234.824997,56552400
16-02-15,233.843002,28153700
17-02-15,243.610001,27363100
18-02-15,236.326004,25200800
19-02-15,240.283005,18270500
20-02-15,243.779007,23876700
21-02-15,244.533997,12284200
22-02-15,235.977005,19527000
23-02-15,238.891998,16400000
24-02-15,238.735001,14200400
25-02-15,237.470001,11496200
26-02-15,236.425995,13619400
27-02-15,253.828003,44013900
28-02-15,254.263,13949300
01-03-15,260.201996,25213700
02-03-15,275.670013,40465700
03-03-15,281.701996,50461300
04-03-15,273.09201,41383000
05-03-15,276.178009,41302400
06-03-15,272.722992,28918900
07-03-15,276.260986,17825900
08-03-15,274.354004,22067900
09-03-15,289.606995,59178200
10-03-15,291.76001,67770800
11-03-15,296.378998,33963900
12-03-15,294.354004,32585200
13-03-15,285.337006,31421500
14-03-15,281.88501,22612300
15-03-15,286.393005,11970100
16-03-15,290.592987,21516100
17-03-15,285.505005,21497200
18-03-15,256.299011,57008000
19-03-15,260.928009,52732000
20-03-15,261.748993,18456700
21-03-15,260.024994,17130100
22-03-15,267.959991,18438100
23-03-15,266.73999,22811900
24-03-15,245.595001,40073700
25-03-15,246.197006,35866900
26-03-15,248.531998,25730000
27-03-15,247.029007,17274900
28-03-15,252.798004,16040900
29-03-15,242.712997,21699400
30-03-15,247.526001,23009600
31-03-15,244.223999,22672000
01-04-15,247.272003,22877200
02-04-15,253.005005,26272600
03-04-15,254.322006,23146600
04-04-15,253.697006,12493500
05-04-15,260.597992,19649200
06-04-15,255.492004,20034200
07-04-15,253.179993,18467400
08-04-15,245.022003,30086400
09-04-15,243.675995,21643500
10-04-15,236.072006,28882000
11-04-15,236.552002,16365200
12-04-15,236.153,12387900
13-04-15,224.587006,31181800
14-04-15,219.158997,31719000
15-04-15,223.832993,22562000
16-04-15,228.572998,24805400
17-04-15,222.882004,20429800
18-04-15,223.356003,12939000
19-04-15,222.600006,15021500
20-04-15,224.626007,18364700
21-04-15,235.268997,24978000
22-04-15,234.175995,23847900
23-04-15,236.462006,17036000
24-04-15,231.268005,21448700
25-04-15,226.389999,13957200
26-04-15,219.429993,28943700
27-04-15,229.285995,38574000
28-04-15,225.854996,21469200
29-04-15,225.807999,18936500
30-04-15,236.145004,33818600
01-05-15,232.078995,18815300
02-05-15,234.929993,12535500
03-05-15,240.358002,18494100
04-05-15,239.018005,21223400
05-05-15,236.121002,23929100
06-05-15,229.781998,29587200
07-05-15,237.334,29064400
08-05-15,243.863007,27445500
09-05-15,241.832001,19790500
10-05-15,240.296005,15019100
11-05-15,242.158005,20892300
12-05-15,241.112,19282600
13-05-15,236.376999,27180100
14-05-15,236.929001,24413700
15-05-15,237.604996,16329400
16-05-15,236.153,11089700
17-05-15,236.802002,11134300
18-05-15,233.128006,16780300
19-05-15,231.947006,14241900
20-05-15,234.018005,15499400
21-05-15,235.343994,15108900
22-05-15,240.348007,27003000
23-05-15,238.871994,14605000
24-05-15,240.953003,11508000
25-05-15,237.110001,14423900
26-05-15,237.115997,16425000
27-05-15,237.283005,18837000
28-05-15,237.408005,13829600
29-05-15,237.095993,14805000
30-05-15,233.345001,14098600
31-05-15,230.190002,14730800
01-06-15,222.925995,26090500
02-06-15,225.802994,20459000
03-06-15,225.873993,17752400
04-06-15,224.324005,14728100
05-06-15,224.951996,18056500
06-06-15,225.619003,11131500
07-06-15,222.880997,13318400
08-06-15,228.488998,23378400
09-06-15,229.048004,28353100
10-06-15,228.802994,15904800
11-06-15,229.705002,14416000
12-06-15,229.981995,14017700
13-06-15,232.401993,13305300
14-06-15,233.542999,12165900
15-06-15,236.822998,19912100
16-06-15,250.895004,41612000
17-06-15,249.283997,43858400
18-06-15,249.007004,30980200
19-06-15,244.606003,23965300
20-06-15,245.212006,20608100
21-06-15,243.944,10600900
22-06-15,246.990005,17692500
23-06-15,244.296005,15108700
24-06-15,240.514999,17344900
25-06-15,242.798996,16133100
26-06-15,243.593994,13983500
27-06-15,250.990005,20488600
28-06-15,249.011002,15137600
29-06-15,257.063995,34742900
30-06-15,263.071991,44533800
01-07-15,258.621002,27029800
02-07-15,255.412003,21551900
03-07-15,256.335999,19033800
04-07-15,260.885986,15620400
05-07-15,271.912994,44156100
06-07-15,269.029999,49154800
07-07-15,266.207001,28857600
08-07-15,270.785004,36980200
09-07-15,269.227997,40301200
10-07-15,284.894012,100390000
11-07-15,293.11499,41109900
12-07-15,310.867004,56405000
13-07-15,292.053986,62053900
14-07-15,287.463989,28727200
15-07-15,285.82901,27486600
16-07-15,278.088989,49482600
17-07-15,279.471985,27591400
18-07-15,274.901001,25187100
19-07-15,273.614014,15332500
20-07-15,278.980988,22711400
21-07-15,275.833008,22930700
22-07-15,277.221985,19389800
23-07-15,276.049011,18531300
