Major,Early Career Pay,Mid-Career Pay,% High Meaning
Accounting & Management,49700.0,81000.0,53%
Nursing Science,63700.0,80900.0,84%
Business Management,48800.0,80800.0,50%
Linguistics,49300.0,80800.0,45%
Agronomy,49100.0,80700.0,64%
Corporate Communications,45300.0,80700.0,41%
Neuroscience,47800.0,80700.0,59%
Communication Studies & Journalism,42500.0,80600.0,49%
Sociology & Organizational Studies,48200.0,80500.0,54%
Nursing,61700.0,80400.0,84%
Toxicology,43800.0,80300.0,-
History,45300.0,80300.0,46%
Agricultural Science,46900.0,80300.0,57%
Biology,44500.0,80200.0,65%
Crop Science,45200.0,80200.0,67%
French Language,46600.0,80200.0,48%
Environmental Studies,45900.0,80100.0,59%
Management (MGT),44800.0,80100.0,57%
Communication,45300.0,79900.0,45%
General & Strategic Management,48900.0,79800.0,53%
Merchandising Management,44200.0,79800.0,35%
Dental Hygiene,70400.0,79600.0,79%
Hydrology,45300.0,79600.0,-
Global Business,53200.0,79500.0,37%
Retail & Consumer Science,48500.0,79500.0,34%
Literature,44400.0,79500.0,44%
Emergency Management,49600.0,79400.0,78%
Interpersonal & Organizational Communication,40300.0,79400.0,56%
Nuclear Medicine,57800.0,79400.0,84%
History & Political Science,48400.0,79300.0,51%
Retail Merchandising,48000.0,79200.0,33%
Agriculture,45300.0,79100.0,61%
Environmental Management,47300.0,79100.0,61%
Professional & Technical Writing,46000.0,79100.0,46%
International Development Studies,45500.0,79000.0,64%
Workforce Education & Development,57100.0,79000.0,74%
Journalism & Mass Communication,43700.0,79000.0,45%
Pre-Medicine,48400.0,78900.0,65%
Bachelor in Science Nursing,61000.0,78800.0,81%
Network Technology,54900.0,78800.0,57%
Theatre & Drama Studies,41500.0,78600.0,49%
Law,51900.0,78500.0,51%
Law Enforcement,43800.0,78400.0,57%
Printing Technology,43800.0,78400.0,-
Public Relations & Communication,43600.0,78400.0,46%
Foreign Languages,47800.0,78300.0,57%
Interior Architecture,45100.0,78300.0,47%
Marine Science,44000.0,78300.0,58%
Public Management,47800.0,78300.0,60%
Web Development,54100.0,78300.0,53%
Journalism,43500.0,78200.0,45%
Landscape Architecture,49000.0,78200.0,67%
Environmental Geography,47100.0,78200.0,52%
Bachelor of Science in Nursing,60700.0,78100.0,83%
Digital Media,44500.0,78000.0,39%
Welding Technology,46100.0,78000.0,-
Nutrition Science,45900.0,77800.0,67%
Accounting & Business,49400.0,77600.0,49%
Diagnostic Medical Sonography,62200.0,77600.0,85%
American History (United States),47800.0,77500.0,55%
