Major,Early Career Pay,Mid-Career Pay,% High Meaning
Art Therapy,39200.0,67100.0,81%
Biological Anthropology,41900.0,67100.0,44%
Drafting & Design,48900.0,66800.0,59%
Geomatics,49000.0,66800.0,65%
Clinical Nutrition,47600.0,66700.0,73%
Horticulture & Agronomy,46400.0,66700.0,58%
Graphic Communication,44700.0,66600.0,29%
Plant Sciences,45800.0,66600.0,60%
Kinesiology,42100.0,66600.0,66%
Fire Science,47200.0,66600.0,71%
Fashion Marketing & Management,45200.0,66500.0,30%
Music,41800.0,66500.0,54%
Nutrition & Dietetics,48500.0,66500.0,72%
Health,41900.0,66400.0,73%
Legal Studies,44400.0,66400.0,49%
Criminal Justice,40600.0,66300.0,56%
Wildlife & Fisheries Science,38300.0,66300.0,59%
Forensic Psychology,40800.0,66200.0,52%
Graphic Design,42600.0,65800.0,37%
Dramatic Art,38900.0,65700.0,-
Hospitality & Tourism,41500.0,65600.0,41%
Religion,41100.0,65600.0,62%
Pre-Veterinary Medicine,37600.0,65600.0,72%
Sports Medicine,45700.0,65400.0,74%
Women's Studies,42700.0,65400.0,59%
Fine Arts,40400.0,65300.0,45%
Public Health (PH),43400.0,65300.0,70%
Modern Language Spanish,41100.0,65200.0,51%
Museum Studies,37600.0,65200.0,47%
Business Leadership,47700.0,65100.0,46%
Dietetics,48700.0,65100.0,75%
Forensic Accounting,44200.0,65100.0,39%
Landscape Management,49300.0,65100.0,-
Speech-Language Pathology,41700.0,65100.0,70%
Animal Science,39000.0,64900.0,64%
Family & Consumer Science,40500.0,64900.0,57%
Drawing & Painting,40600.0,64500.0,48%
Music Industry,44400.0,64500.0,38%
Technical Theatre,39100.0,64500.0,41%
Foods & Nutrition,45000.0,64400.0,70%
Physical Therapist Assistant Studies,49100.0,64400.0,85%
Recreation Management,40300.0,64400.0,58%
Interdisciplinary Studies (IS),42200.0,64200.0,56%
Education,41800.0,64100.0,67%
Applied Linguistics,44100.0,64000.0,40%
Applied Sociology,40100.0,63800.0,57%
Business & Healthcare Management,44700.0,63800.0,67%
Music Composition,42300.0,63700.0,51%
Physical Education & Exercise Science,41000.0,63700.0,78%
Behavioral Science,40400.0,63500.0,61%
Psychology & Sociology,40600.0,63400.0,52%
General Studies,41200.0,63300.0,53%
Culinary Arts & Culinary Management,36100.0,63200.0,51%
Theatre Arts,40900.0,63200.0,49%
Technology Teacher Education,46400.0,63100.0,47%
Art,40600.0,63000.0,46%
Textiles & Clothing,42900.0,63000.0,46%
Video Production,42800.0,62800.0,38%
Training and Development,50200.0,62500.0,-
Theology,39300.0,62300.0,69%
Restaurant & Food Service Management,41500.0,62300.0,45%
Missions,41400.0,62200.0,-
Event Management,39500.0,62100.0,42%
Clinical Psychology,40900.0,62000.0,66%
Developmental Psychology,31000.0,62000.0,-
Physical Education Teaching,39600.0,62000.0,71%
Theatre,39700.0,62000.0,48%
Sports Administration,41200.0,61900.0,53%
Drawing,36400.0,61800.0,35%
Health & Exercise Science,40100.0,61800.0,67%
Agricultural Teacher Education,51000.0,61700.0,53%
Graphic Arts,41100.0,61600.0,39%
New Media,44700.0,61600.0,32%
Health Services Administration,40800.0,61500.0,64%
Interior Design & Merchandising,40800.0,61400.0,38%
Exercise Science,38900.0,61300.0,73%
Electronic Media,43700.0,61200.0,38%
Exercise & Sports Science,40400.0,61200.0,70%
Psychiatry,54700.0,61200.0,-
Supervision & Management,39400.0,61200.0,57%
African American & African Studies,43600.0,61100.0,61%
Culture Studies,44800.0,61000.0,41%
Printmaking,36800.0,61000.0,41%
Secondary English Teacher Education,40000.0,61000.0,67%
Community Health Education,40200.0,60900.0,75%
Culinary Arts,36700.0,60900.0,46%
Wildlife Management,37800.0,60800.0,49%
Psychology & Philosophy,45400.0,60800.0,40%
Mortuary Science,40600.0,60700.0,81%
Paralegal Studies,37700.0,60600.0,51%
Health Studies,40600.0,60500.0,65%
Social Psychology,44400.0,60500.0,55%
Health Services Management,39300.0,60400.0,83%
Emergency Medical Services (EMS),41600.0,60300.0,-
Recording Arts,40500.0,60300.0,44%
English Teacher Education,41300.0,60200.0,56%
Social Science Teacher Education,42100.0,60200.0,-
Social Studies Teacher Education,42400.0,60200.0,65%
Music Teacher Education,39100.0,60000.0,66%
Photography,41500.0,60000.0,38%
Teaching English as a Second Language (ESL),41600.0,59900.0,75%
Health & Physical Education Teaching,37000.0,59900.0,64%
Human Development,40700.0,59700.0,65%
Painting,38700.0,59700.0,44%
Radio Broadcasting,43200.0,59700.0,-
Recreational Studies,40500.0,59700.0,68%
Speech Pathology,40500.0,59500.0,70%
Recreation Administration,45000.0,59400.0,70%
Dance,42600.0,59200.0,61%
Recreation & Leisure Studies,38800.0,59100.0,63%
Arts Management,37400.0,59000.0,44%
University Studies,40000.0,59000.0,51%
Photojournalism,39700.0,59000.0,66%
Organizational Administration,42900.0,58900.0,-
Health & Medical Services Administration,37900.0,58800.0,83%
Tourism Management,40600.0,58800.0,38%
Communicative Disorders,45200.0,58800.0,73%
Sculpture,38400.0,58700.0,44%
Consumer Affairs,49200.0,58600.0,48%
Social Services,38000.0,58600.0,80%
Community Health,42900.0,58500.0,69%
Justice Studies,43300.0,58500.0,50%
Landscape Design,48900.0,58500.0,65%
Horticulture,41300.0,57800.0,60%
Wildlife Biology,41000.0,57800.0,59%
Gender Studies,43100.0,57700.0,55%
Nonprofit Management,40400.0,57200.0,77%
Athletic Training,39700.0,57000.0,76%
Human Development & Family Studies,38300.0,56800.0,66%
Biblical Studies,38700.0,56700.0,73%
Health Promotion,40000.0,56700.0,69%
Home Economics,38200.0,56500.0,65%
Theatre Studies,43100.0,56500.0,51%
Teaching,39600.0,56400.0,72%
Counseling Psychology,39200.0,56200.0,65%
Health & Human Performance,36200.0,56200.0,69%
Library & Information Science,44700.0,56000.0,54%
Art Teacher Education,37500.0,55900.0,62%
Hospitality & The Culinary Arts,37400.0,55900.0,-
Musical Theatre,41800.0,55900.0,46%
Clinical Social Work (CSW),41700.0,55800.0,-
Biblical Studies & Practical Ministries,35100.0,55700.0,78%
Rehabilitation Services,34100.0,55700.0,79%
Parks & Recreation Management,40600.0,55600.0,57%
Pastoral Ministry,37300.0,55600.0,84%
Legal Assistant Studies,36400.0,55500.0,39%
Applied Management,43600.0,55400.0,-
Social Welfare,44900.0,55300.0,71%
Tourism & Travel,40600.0,55300.0,40%
Vocal Performance,38900.0,55300.0,65%
Audio Production,43700.0,54700.0,37%
Bible Studies & Theology,38100.0,54700.0,66%
Church Ministries,38100.0,54600.0,82%
Family Studies,35900.0,54500.0,71%
Special Education,39200.0,54500.0,78%
Ceramics,39900.0,54400.0,48%
Communication Sciences & Disorders,40900.0,54400.0,76%
Family & Community Services,38500.0,54400.0,74%
Speech & Hearing,41400.0,54300.0,79%
Community Development,42100.0,53900.0,65%
Health and Human Services,41500.0,53700.0,66%
Office Management,37800.0,53400.0,50%
Psychology & Human Services,35000.0,53300.0,78%
History Teacher Education,45400.0,53000.0,45%
Youth Ministry,35300.0,52300.0,82%
Therapeutic Recreation,37700.0,52300.0,82%
Community & Human Services,40500.0,52100.0,78%
Christian Ministry,35500.0,52000.0,80%
Elementary Education,37700.0,51600.0,71%
Social Work (SW),36600.0,51600.0,77%
Office Administration,38200.0,51200.0,61%
Voice & Opera,32900.0,50800.0,61%
Elementary Teaching,34400.0,50700.0,76%
Human Services (HS),36600.0,50700.0,70%
Baking & Pastry Arts,36000.0,50600.0,47%
Human Services Management,43500.0,50500.0,-
Counseling,37100.0,49300.0,78%
Recreational Therapy,36400.0,49200.0,82%
Child Development,35500.0,49100.0,76%
Middle School Education,39000.0,48300.0,73%
Educational Psychology,34600.0,47600.0,-
Early Childhood & Elementary Education,36200.0,46500.0,78%
Rehabilitation Counseling,38000.0,46100.0,-
Addiction Studies,36300.0,44800.0,83%
Outdoor Education,35800.0,44200.0,57%
Child & Family Studies,34100.0,43600.0,74%
Early Childhood Education,34100.0,43300.0,78%
Mental Health,35200.0,42500.0,-
Medical Assisting,35100.0,42300.0,-
Addictions Counseling,38800.0,42200.0,-
Metalsmithing,38300.0,38400.0,32%
